ID	O3N2	O3N2_ERR	12_LOG_OH_O3N2	12_LOG_OH_O3N2_ERR	N2	N2_ERR	12_LOG_OH_N2	12_LOG_OH_N2_ERR	r_kpc
1	2.301985	0.112996	8.040375	0.038624	-1.558421	0.111177	8.023009	0.069037	2.353
3	2.154682	0.126795	8.071898	0.039355	-1.457303	0.123748	8.069726	0.072256	2.605
7	1.655616	0.063629	8.178698	0.026910	-1.185229	0.058070	8.195424	0.047517	1.484
9	2.027372	0.247328	8.099142	0.059475	-1.391182	0.246533	8.100274	0.121723	2.469
11	1.691130	0.173196	8.171098	0.043927	-1.270309	0.172368	8.156117	0.089443	2.783
17	1.628656	0.074348	8.184468	0.027912	-1.202156	0.071916	8.187604	0.051627	5.117
19	2.106784	0.080028	8.082148	0.032809	-1.469700	0.075061	8.063999	0.056354	3.210
21	1.362967	0.120515	8.241325	0.032812	-1.130775	0.117968	8.220582	0.066603	2.303
