           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  18.082102       0.018721     17.434597          0.203958  1231.428660  165.217167       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6548.874851  6617.010726  6572.641912   2.685163  0.014158  0.001892 -0.000010  0.078317    0.000003    0.017825  4204.692866  7.481889  0.001364  2.839100  6571.950258  2.451047    NaN   NaN    NaN NaN NaN NaN  0.021413    0.021346   0.021346        NaN       NaN        NaN    NaN    NaN    NaN -61.138256    0.973543  111.786516       0.973547       9.082224          NaN      45.0  68.142078  272.568313  5.771774  3107.825093 -408.852470 -61.485004 -674.038974 -254.614874 -208.069111   95.603606  171.403938  1597.745587  27802.852343  248.239753  656.540694  673.164802           no       no
N2_6584A    6584.0000  18.082102       0.018721      0.735870          0.197719    51.975496   15.597549       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6548.874851  6617.010726  6572.641912   2.685163  0.014158  0.001892 -0.000010  0.078317    0.000003    0.017825   168.857614  7.481889  0.001297  0.114016  6592.537347  2.552151    NaN   NaN    NaN NaN NaN NaN  0.019872    0.513641   0.513643        NaN       NaN        NaN    NaN    NaN    NaN -81.212063   23.351229  116.026379      23.351339       2.436390          NaN      45.0  68.142078  272.568313  6.009855  3107.825093 -408.852470 -61.485004 -674.038974 -254.614874 -208.069111   95.603606  171.403938  1597.745587  27802.852343  248.239753  656.540694  673.164802           no       no
N2_6548A    6548.0000  18.082102       0.018721      0.246380          0.066944    17.402165    5.269419       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6548.874851  6617.010726  6572.641912   2.685163  0.014158  0.001892 -0.000010  0.078317    0.000003    0.017825    57.434562  7.481889  0.001289  0.038781  6556.442019  2.538177    NaN   NaN    NaN NaN NaN NaN  0.006759    0.510828   0.510831        NaN       NaN        NaN    NaN    NaN    NaN -83.435873   23.351056  116.025518      23.351166       2.436390          NaN      45.0  68.142078  272.568313  5.976950  3107.825093 -408.852470 -61.485004 -674.038974 -254.614874 -208.069111   95.603606  171.403938  1597.745587  27802.852343  248.239753  656.540694  673.164802           no       no
H1_4861A    4861.2582   5.456542       0.071675      5.613739          0.221484   162.044982   52.942329       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4868.050528   0.938961  0.034643  0.011236  0.000057 -0.243148    0.000052    0.250724   161.402534  3.083348  0.001431  0.995839  4868.215588  2.245511    NaN   NaN    NaN NaN NaN NaN  0.024552    0.063927   0.063927        NaN       NaN        NaN    NaN    NaN    NaN  10.165010    3.936852  138.286803       3.936852       9.082224          NaN      19.0  92.002636         NaN  5.287773          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN    441.016864    8.481094  120.496246  126.518246           no       no
O3_5007A    5006.7664  16.759595       0.054454     17.461436          1.013904   486.036107  113.760551       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.457150   2.759251  0.035926  0.008146 -0.000117  0.623730    0.000064    0.322419   710.217102  4.410318  0.001456  3.096556  5014.053902  2.247946    NaN   NaN    NaN NaN NaN NaN  0.117941    0.098864   0.098869        NaN       NaN        NaN    NaN    NaN    NaN -33.664702    5.910436  134.390571       5.910775       2.279635          NaN      20.0  89.316444         NaN  5.293508          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  13790.133179  372.706302  246.543599  253.397887           no       no
He1_5016A   5016.0000  16.759595       0.054454      0.075199          0.000000     2.093147    0.474602      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.457150   2.759251  0.035926  0.008146 -0.000117  0.623730    0.000064    0.322419     4.587142  4.410318  0.001798  0.020000  5025.019628  1.500000    NaN   NaN    NaN NaN NaN NaN  0.000000   12.514709   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  68.895645  746.798592   89.510502       0.000000       4.557702          NaN      20.0  89.316444         NaN  3.532230          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  13790.133179  372.706302  246.543599  253.397887           no       no
O3_4959A    4958.8348   5.418858       0.043726      5.648414          0.233625   164.496666   34.770482       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.650906   0.933348  0.034338  0.007118  0.000279 -1.351952    0.000078    0.388691   232.773985  4.824187  0.001456  0.991473  4966.056582  2.273140    NaN   NaN    NaN NaN NaN NaN  0.026997    0.071470   0.071470        NaN       NaN        NaN    NaN    NaN    NaN -35.873993    4.313990  137.209189       4.313991       2.279635          NaN      16.0  90.176155         NaN  5.352835          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN    879.384496   25.864250  123.227260  128.060013           no       no
S2_6716A    6716.0000   1.253663       0.017945      0.751070          0.016045    57.698758    9.779185       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6715.058825  6744.187673  6726.518259   0.123822  0.013017  0.002189  0.000014 -0.081646    0.000014    0.093308   124.529884  5.947594  0.001435  0.119110  6725.634183  2.516629    NaN   NaN    NaN NaN NaN NaN  0.001822    0.038705   0.038108        NaN       NaN        NaN    NaN    NaN    NaN -39.956019    1.725022  112.162774       1.698444       1.610217          NaN      30.0  66.583255  266.333020  5.926208  1298.236098  233.041392  37.457563 -313.905651 -231.064464 -185.286662  643.503998  690.731900   755.060975     77.963507    1.559270   27.831868   35.787804           no       no
S2_6731A    6731.0000   1.253663       0.017945      0.530701          0.013152    40.769543    6.928859       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6715.058825  6744.187673  6726.518259   0.123822  0.013017  0.002189  0.000014 -0.081646    0.000014    0.093308    87.704521  5.947594  0.001341  0.083887  6740.028991  2.522015    NaN   NaN    NaN NaN NaN NaN  0.001704    0.038788   0.038190        NaN       NaN        NaN    NaN    NaN    NaN -67.825402    1.724861  112.152346       1.698286       1.610217          NaN      30.0  66.583255  266.333020  5.938892  1298.236098  233.041392  37.457563 -313.905651 -231.064464 -185.286662  643.503998  690.731900   755.060975     77.963507    1.559270   27.831868   35.787804           no       no
O1_6300A    6300.0000   0.029407       0.018111      0.040239          0.017171     2.447682    1.185726       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.637954  6293.500000  6306.000000  6319.711710  6327.945925          NaN          NaN  6308.213625   0.026523  0.016440  0.003769 -0.000105  0.677793    0.000060    0.381475     3.820997  4.361593  0.001375  0.010901  6308.662501  1.425917    NaN   NaN    NaN NaN NaN NaN  0.003061    0.461057   0.463647        NaN       NaN        NaN    NaN    NaN    NaN  21.332427   21.911336   67.765469      22.034433       2.279635          NaN      10.0  70.998464         NaN  3.357777          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN     14.813128    0.740656   -4.119549   -0.713067           no       no
