ID,signed_distance_kpc
1,2.1501796121951813
2,2.373826515813847
3,1.0566975100962768
4,-1.939577345136518
5,-2.532608504672443
6,-3.7450035973313573
7,-3.6738386301393713
8,-3.0447924442733507
9,-1.4664070048487443
10,-1.3666490692931121
11,6.195528646761859
12,5.102151263325893
13,5.360235846360343
14,4.019714027980844
15,7.4982664553605005
16,7.715021937410652
17,6.757636469964179
19,5.963860945869096
20,6.940415511107997
