brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,X,Y
27529,0495m665,13521,PSF,49.50398527411156,-66.54468076306799,0.1033159,9.59478,7.822911,4.2046127,3.9816995,1.3817796,1.1800163,1.0603311,1.1597103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.044912,20.266579,20.940685,20.999828,19.566675,19.500286,17.202427,,-0.22166634,-0.6741066,-0.73324966,-0.059143066,1260.2587878350948,277.448926269083
27529,0495m665,21226,PSF,49.64344303798303,-66.46379898516695,0.11118782,1.2629062,2.4902322,4.2048087,5.464733,1.4698629,1.3725216,1.1783406,1.2437015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.246572,21.509401,20.940634,20.656078,19.596722,20.030567,19.297495,,0.7371712,0.56876755,0.853323,0.28455544,495.26623946633117,1388.0896726893136
27529,0495m665,17579,PSF,49.57720130524785,-66.51055669876635,0.10780286,0.8443402,2.578233,4.211375,5.834904,1.4095949,1.274322,1.1964581,1.2709345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.683706,21.471695,20.93894,20.584915,19.637764,22.291576,,,1.2120113,0.5327549,0.8867798,0.3540249,859.3653860945594,746.1686090670864
27529,0495m665,22803,PSF,49.67037230046012,-66.49324758018794,0.10913183,8.092393,10.509621,4.2170105,6.333805,1.4314209,1.3313818,1.1748722,1.2439173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.229807,19.946032,20.937489,20.495838,18.86286,18.591036,15.348992,14.277395,0.28377533,-0.991457,-0.5498066,0.4416504,348.5094594174901,983.119222625327
27529,0495m665,15455,PSF,49.53837676292429,-66.48444839281275,0.11006014,3.7435048,4.2158456,4.217148,4.679928,1.4253722,1.3198797,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.066805,20.937788,20.937452,20.824402,,,,,0.12901688,0.00033569336,0.11338615,0.11305046,1071.8636463363969,1105.0524216107958
27529,0495m665,7769,PSF,49.41279589744602,-66.5292738047019,0.10310885,7.5701036,7.760574,4.2181563,5.533776,1.4240355,1.3161556,1.1850618,1.2737088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.302246,20.275265,20.937193,20.642447,19.289143,19.12867,16.657988,,0.026981354,-0.6619282,-0.36718178,0.2947464,1759.3368746750996,488.6909669094678
27529,0495m665,14206,PSF,49.51603834706712,-66.51161836156699,0.10792635,0.40792257,2.6988993,4.2205606,5.333441,1.3798053,1.2214954,1.1622853,1.2818524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.473557,21.422033,20.936575,20.682482,19.47072,21.46309,18.638592,,2.0515232,0.48545837,0.73955154,0.25409317,1194.3349948944826,731.7474358360678
27529,0495m665,25779,PSF,49.72798921309281,-66.48625903711732,0.10948849,1.2285523,3.093598,4.241834,4.999272,1.4072626,1.3404831,1.1433977,1.2501966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.276516,21.27384,20.931116,20.752733,22.019907,21.348267,,,1.002676,0.34272385,0.5211067,0.17838287,32.41548087522756,1078.2165481319885
27529,0495m665,17752,PSF,49.58083326980307,-66.50464805841162,0.10827272,2.476621,3.5396369,4.249965,4.935321,1.41232,1.2842402,1.1964581,1.2709345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51535,21.127604,20.929037,20.766712,19.900635,20.185024,18.850023,,0.3877468,0.19856644,0.36089134,0.1623249,839.389483882394,827.3357932721375
27529,0495m665,19832,PSF,49.61937227020162,-66.49678152024758,0.108774,2.4464424,3.05992,4.2543344,5.3879323,1.4177113,1.313997,1.1964581,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.528662,21.285725,20.927921,20.671444,19.669918,20.442425,,,0.24293709,0.35780334,0.6142807,0.25647736,628.0944088840122,935.1398110311762
